job_title,location,company,salary,rating,summary
Data Scientist,"San Francisco, CA",Unlearn.AI,,,3+ years industry experience in data science or a related role. Providing feedback to the data infrastructure engineering team to improve software used for data…
"Data Scientist, Analytics","San Francisco, CA 94131 (Noe Valley area)",Facebook,,4.2,"Experience manipulating data sets through statistical software (e.g. R, SAS) or other methods. Apply your expertise in quantitative analysis, data mining, and…"
Software Engineer - Power BI Developer,"San Francisco, CA",Wells Fargo,,3.7,5+ years of business intelligence experience. This individual will be responsible for Power BI development and administration; Building Analysis Services…
Sr. Big Data/ Scala Developer,"San Francisco, CA (Financial District area)",Kairos Technologies,"$97,851 - $175,111 a year",3.8,"Strong experience building data ingestion pipelines (simulating Extract, Transform, Load workload), data warehouse or database architecture Hands-on development…"
Audio Engineer - Big Data,"San Francisco Bay Area, CA",Zoom,,3.6,Assist developers to track and analyze customer issues with data analysis. Proactively detect potential issues through big data analysis and work with engineers…
Business Analyst (Freelance/Temporary),"San Francisco, CA 94104 (Financial District area)",Rauxa,,3.4,"You will maintain strong relationships with web associates, database administrators, system administrators, the marketing team, application developers, and IT…"
"Senior Data Engineer - Opportunity for Working Remotely San Francisco, CA","San Francisco, CA",Carbon Black,,3.6,Drive development of data products in collaboration with data scientists and machine learning engineers. Experience in big data technologies.
Associate Data Engineer,"San Francisco, CA",Glu Mobile,,3.3,"The Data Engineering team at Glu builds core data infrastructure and applications in support of all areas of our business, including our studio teams, user…"
Biomedical Data Researcher/Engineer,"Alameda, CA",Penumbra US,,,"Recruit, coordinate and perform data collection studies following standard research guidelines and procedures. What You'll Work On."
QA Analyst (Manual Testing),"San Francisco, CA 94103 (South of Market area)",Wish,,4.0,"Bachelor's Degree in a STEM field from a reputable institution or equivalent work experience. As a QA Analyst, you’ll become an expert in the health and quality…"
"Data Analyst, Global Analytics & Insights, Community Operations","San Francisco, CA 94103 (South of Market area)",Uber,,3.7,"Minimum 2 years of experience in analytics, business intelligence, data engineering, or a similar role. Experience working with customer support data, contact…"
Software Engineer Data Platforms,"San Francisco, CA 94103 (South of Market area)",Wish,,4.0,Bachelor or Master degree in Computer Science or related field. Design and Develop data collection and processing systems to handle large data sets.
Senior Business Intelligence Analyst,"San Francisco, CA 94107 (Yerba Buena area)",Unity Technologies,,4.0,Creative problem solving and solution-oriented approaches when working with incomplete or ambiguous data. Working knowledge of a SaaS metrics and business model…
Human Resources Coordinator,"San Francisco, CA (South Beach area)",State Bar of California,"$73,376 - $97,825 a year",3.9,Assists in developing or updating job descriptions by performing classification analysis and research. Principles of research and policy development.
"Software Engineer, Data","San Francisco, CA 94105 (Yerba Buena area)",Ripple,,3.3,"Building, improving, maintaining data pipelines and foundational frameworks for data ingestion and data transformation. Exposure to NoSQL database a plus."
Sr. Business Intelligence Analyst,"San Francisco, CA 94108 (Financial District area)",Loanpal,,3.6,"Execution – Under direction of Lead Analyst, work with product manager or directly with stakeholders to clarify business questions, identify data sources, solve…"
Data Scientist,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Experience working with other data scientists, software engineers, clinicians and neuroradiologists. Advanced skills, and demonstrated experience associated…"
Data Scientist - Machine Learning,"San Francisco, CA",Plaid,,3.8,Mentoring other data scientists and establishing a culture of modeling excellence. You’ll be a data scientist embedded on the Financial Identity Team (FIT).
Data Engineer,"San Francisco, CA",Modern Health,,4.3,"Partner with people across the company (PM, engineering, data analysts, operations, care, customer success) to understand data needs and pain points."
Data Engineer,,TEKsystems,$75 an hour,3.9,"Designed, developed, and implemented data infrastructure, data pipelines and data processing code for product features. Hive/spark/snowflake/sql development."
Data Engineer,"Redwood City, CA",Course Hero,,3.8,"Work with our teams of data scientists, machine learning engineers, and software engineers to work efficiently and reliably with terabytes of data."
Investigations/Unauthroized Reseller Analyst,"San Francisco Bay Area, CA","Zoom Video Communications, Inc.",,3.8,"Experience in anti-bribery compliance, legal or other control-related function within a technology company and/or accounting/auditing organization a plus."
Database Analyst – Pottery Barn,"San Francisco, CA 94111 (North Waterfront area)",Pottery Barn,,3.7,"Knowledge of data organization, data flow processes, report building, and data analysis. Interface with our technology teams to report issues and ensure…"
Data Scientist - Customer Experience,"San Francisco, CA 94104 (Financial District area)",Lattice,,3.8,"Own product-related metrics and business intelligence output for the CX organization, including but not limited to industry benchmarks and streamlined quarterly…"
Data Scientist,"San Francisco, CA 94107 (South Beach area)",Ancestry,,3.8,"Use data science to drive product innovation, customer success, content creation across our Family History business."
Research Engineer,"San Francisco, CA",Scaleapi,,,"Strong programing skills in Python or Javascript, experience in Tensorflow or PyTorch. The goal of a research engineer at Scale is to bring techniques in the…"
Sr. Insights/Gaming Analyst (Data Scientist),"San Mateo, CA",Sony Interactive Entertainment PlayStation,,3.7,"Minimum 4 years of experience in a business intelligence role, marketing analysis, business and/or financial management tasks for commercial organizations,…"
Medical Device Assembler,"San Francisco, CA (Mission area)",Roam Robotics,$21 - $23 an hour,,Must be comfortable on PC for inputting manufacturing data. Work with a team to assemble entire products or components. Employment Type: 3-6 months Contract.*.
Data Scientist (Generalist),"San Francisco, CA",PicnicHealth,,,You have a strong desire to shape our growing team of data scientists as PicnicHealth scales to meet customer demand.
Investigations/Unauthroized Reseller Analyst,"San Francisco Bay Area, CA",Zoom,,3.6,"Experience in anti-bribery compliance, legal or other control-related function within a technology company and/or accounting/auditing organization a plus."
Visa Developer - Product and community engagement analyst,"Foster City, CA",Visa,,3.9,"Partner with the analytics lead to help with data analysis, development of data-driven insights to inform the VDP roadmap. Stays up to date with current trends."
Business Intelligence Analyst,"San Francisco, CA",ChilliConnect,,,"Drive quantitative analysis to support business decisions. This role will identify and fix business problems/opportunities, define and implement business…"
Data Scientist,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Experience working with other data scientists, software engineers, clinicians and neuroradiologists. Advanced skills, and demonstrated experience associated…"
Data Scientist - Machine Learning,"San Francisco, CA",Plaid,,3.8,Mentoring other data scientists and establishing a culture of modeling excellence. You’ll be a data scientist embedded on the Financial Identity Team (FIT).
Data Engineer,"San Francisco, CA",Modern Health,,4.3,"Partner with people across the company (PM, engineering, data analysts, operations, care, customer success) to understand data needs and pain points."
Data Engineer,"Redwood City, CA",Course Hero,,3.8,"Work with our teams of data scientists, machine learning engineers, and software engineers to work efficiently and reliably with terabytes of data."
Investigations/Unauthroized Reseller Analyst,"San Francisco Bay Area, CA","Zoom Video Communications, Inc.",,3.8,"Experience in anti-bribery compliance, legal or other control-related function within a technology company and/or accounting/auditing organization a plus."
Database Analyst – Pottery Barn,"San Francisco, CA 94111 (North Waterfront area)",Pottery Barn,,3.7,"Knowledge of data organization, data flow processes, report building, and data analysis. Interface with our technology teams to report issues and ensure…"
Data Scientist - Customer Experience,"San Francisco, CA 94104 (Financial District area)",Lattice,,3.8,"Own product-related metrics and business intelligence output for the CX organization, including but not limited to industry benchmarks and streamlined quarterly…"
Data Scientist,"San Francisco, CA 94107 (South Beach area)",Ancestry,,3.8,"Use data science to drive product innovation, customer success, content creation across our Family History business."
Research Engineer,"San Francisco, CA",Scaleapi,,,"Strong programing skills in Python or Javascript, experience in Tensorflow or PyTorch. The goal of a research engineer at Scale is to bring techniques in the…"
Sr. Insights/Gaming Analyst (Data Scientist),"San Mateo, CA",Sony Interactive Entertainment PlayStation,,3.7,"Minimum 4 years of experience in a business intelligence role, marketing analysis, business and/or financial management tasks for commercial organizations,…"
Medical Device Assembler,"San Francisco, CA (Mission area)",Roam Robotics,$21 - $23 an hour,,Must be comfortable on PC for inputting manufacturing data. Work with a team to assemble entire products or components. Employment Type: 3-6 months Contract.*.
Data Scientist (Generalist),"San Francisco, CA",PicnicHealth,,,You have a strong desire to shape our growing team of data scientists as PicnicHealth scales to meet customer demand.
Investigations/Unauthroized Reseller Analyst,"San Francisco Bay Area, CA",Zoom,,3.6,"Experience in anti-bribery compliance, legal or other control-related function within a technology company and/or accounting/auditing organization a plus."
Visa Developer - Product and community engagement analyst,"Foster City, CA",Visa,,3.9,"Partner with the analytics lead to help with data analysis, development of data-driven insights to inform the VDP roadmap. Stays up to date with current trends."
SQL Database Administrator,"San Leandro, CA 94577",Alameda Health Consortium/Community Health Center...,,,3 years experience as a SQL database administrator or related roles. Manage data replication and automate repeating database tasks.
"Software Engineer, Data Infrastructure","San Francisco, CA 94110 (Mission area)",Notion,,,"You have worked cross-functionally to establish the right overarching data architecture for a company's needs, to build data pipelines, and to provide guidance…"
"Analyst, Business Intelligence","Foster City, CA 94404",Qualys,,3.7,Minimum of 3 years of hands on experience optimizing business processes and analytics and building or maintaining master data management in an ERP or CRM system…
Lead Business Intelligence (BI) Engineer,"San Mateo, CA 94402 (Nineteenth Avenue area)",KnowledgeLoop,,,Conduct business and performance analysis and tuning of the resulting reporting solutions. Develop a reporting framework and build OLAP reports for the internal…
Data Engineer,"South San Francisco, CA",Genome Medical,,,"Design and implement scalable robust, and secure data lake and/or data warehouse solutions. 4+ years of experience writing production backend code in Python …"
Data Coordinator,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Working skills in statistical analysis, systems programming, database design and data security measures. Working knowledge of research function."
Data Engineer,"San Francisco, CA 94129 (Presidio area)",SoFi,,3.2,Sharpen your skills as a developer and build technical domain knowledge on data infrastructure modernization. A passion and instinct for data quality.
Consultant,"San Francisco, CA 94108 (Chinatown area)",ZoomRx,,,Experience in life sciences and/or business analysis (preferred). You will help us see data in new ways and contribute to creating new market research…
Data Engineer,"Redwood City, CA",CrowdRise,,,"Collaborate with analysts, engineers and business users to design solutions. 0-2 years as a data engineer designing, developing and maintaining enterprise data…"
Senior Data Scientist,"San Francisco, CA",GSR Business Services (P) Ltd,"$171,107 - $240,854 a year",,2 years of relevant experience in data science or advanced analytics (through graduate education or work experience). Work closely with domain experts.
Business Analyst,"San Francisco, CA 94111 (Financial District area)",First Republic Bank,,3.9,"Strong business orientation with broad experience with various banking lines of business processes, technology and change initiatives is a plus."
"Analyst/Sr. Analyst, Sales Strategy & Operations - Commercial Business Unit","San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Lead analyses of business performance to drive business impact. Work experience in consulting or strategy/business operations is a big plus.
Business Insights Analyst,"Alameda, CA",Abbott Laboratories,,4.0,"He/she will provide data analytic expertise to inform emerging business trends, evaluate marketing tactics as well as track the performance of the business."
Data Engineer,"San Francisco, CA 94107 (South of Market area)",GoodData Corporation,,,"In addition to POC delivery, the Data Engineer also contributes valuable demos or content to enable the GoodData developer community and end users."
"Summer 2021 Intern - Analyst, People Analytics Research","San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,"Collaborate with data engineers to access data and explain data requirements as necessary. Provide subject-matter expertise and advice on research design, data…"
Data Coordinator,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Working skills in statistical analysis, systems programming, database design and data security measures. Working knowledge of research function."
Data Engineer,"San Francisco, CA 94129 (Presidio area)",SoFi,,3.2,Sharpen your skills as a developer and build technical domain knowledge on data infrastructure modernization. A passion and instinct for data quality.
Consultant,"San Francisco, CA 94108 (Chinatown area)",ZoomRx,,,Experience in life sciences and/or business analysis (preferred). You will help us see data in new ways and contribute to creating new market research…
Data Engineer,"Redwood City, CA",CrowdRise,,,"Collaborate with analysts, engineers and business users to design solutions. 0-2 years as a data engineer designing, developing and maintaining enterprise data…"
Senior Data Scientist,"San Francisco, CA",GSR Business Services (P) Ltd,"$171,107 - $240,854 a year",,2 years of relevant experience in data science or advanced analytics (through graduate education or work experience). Work closely with domain experts.
Business Analyst,"San Francisco, CA 94111 (Financial District area)",First Republic Bank,,3.9,"Strong business orientation with broad experience with various banking lines of business processes, technology and change initiatives is a plus."
"Analyst/Sr. Analyst, Sales Strategy & Operations - Commercial Business Unit","San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Lead analyses of business performance to drive business impact. Work experience in consulting or strategy/business operations is a big plus.
Business Process Analyst,,Alameda Health System,,3.4,Partners with the PM or Lean Consultant to work with operational leaders in developing and maintaining end user documentation related to business processes or…
Business Insights Analyst,"Alameda, CA",Abbott Laboratories,,4.0,"He/she will provide data analytic expertise to inform emerging business trends, evaluate marketing tactics as well as track the performance of the business."
Data Engineer,"San Francisco, CA 94107 (South of Market area)",GoodData Corporation,,,"In addition to POC delivery, the Data Engineer also contributes valuable demos or content to enable the GoodData developer community and end users."
"Summer 2021 Intern - Analyst, People Analytics Research","San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,"Collaborate with data engineers to access data and explain data requirements as necessary. Provide subject-matter expertise and advice on research design, data…"
Business Analyst,"San Francisco, CA",E-CQR,,,"Recommend improvements related to business profitability or processes. Extract and analyze data to support business initiatives (e.g. profitability, performance…"
100% Remote :: Azure Data Engineer :: Joining Feb 6,"San Francisco, CA",RulesIQ,$60 - $65 an hour,,"Lead, design, develop and deliver large-scale data systems, data processing and data transformation projects. Hands-on experience with Azure cloud data services…"
Machine Learning Engineer / Data Scientist,"San Francisco, CA 94103 (Yerba Buena area)",The Blue Store,$50 - $100 an hour,,"Keywords: developer, python developer, software engineer, software developer, engineer, automation engineer, trader, full stack, full stack engineer, full stack…"
Senior Research Scientist,"San Francisco, CA",Pearson,,3.7,"Familiarity with data privacy and ethics considerations associated with human subjects research. Locate, identify and/or extract usable data, both on- and off…"
Machine Learning Engineer / Data Scientist,"San Francisco, CA 94103 (Yerba Buena area)",The Blue Store,$50 - $100 an hour,,"Keywords: developer, python developer, software engineer, software developer, engineer, automation engineer, trader, full stack, full stack engineer, full stack…"
Senior Research Scientist,"San Francisco, CA",Pearson,,3.7,"Familiarity with data privacy and ethics considerations associated with human subjects research. Locate, identify and/or extract usable data, both on- and off…"
Data Scientist - Analytics (Up to $125k + 100% Remote Option),"San Francisco, CA",Hired Recruiters,,,3+ years of experience in a data science or analytics role. Build data tools that help us scale manual processes.
Research Scientist,"San Francisco Bay Area, CA","Obsidio, Inc.","$70,000 - $110,000 a year",,"5+ years experience with MS or 2-3 years experience with Ph.D. in biotech, pharmaceutical, or medical device industry with a focus on biomaterial and drug…"
Data Engineer,"San Francisco, CA 94016",Logic20/20,,3.5,"Mentors data scientists in pioneering techniques and business acumen. Extracts data from various databases; perform exploratory data analysis, cleanses,…"
Senior Business Intelligence Engineer,"Emeryville, CA 94608",National Mortgage Insurance Corporation,,,Work closely with different business teams to understand the problem at hand and help them find a solution or design a suitable technical solution.
Data Quality Analyst,"Burlingame, CA 94010",Focal Systems,,4.3,Manage a team of data annotators. Build tools to ensure high data quality. Must have studied engineering (BS or MS). Must be willing to work 40-60 hours a week.
Data Engineer,"San Francisco Bay Area, CA",Dolls Kill,,2.5,"Develop automated data pipelines for the extraction, preparation, and ingestion of data. Ensure data quality and consistency; play an active role in…"
"Scientist, Scientific Data Engineer","South San Francisco, CA",Denali Therapeutics,,,You will drive laboratory informatics efforts in collaboration with scientists and software engineers to facilitate data capture and strategic analysis of…
Program Manager/Business Analyst,"Redwood City, CA",Anomali,,3.3,"O Coordinate all areas of the business in preparation for the release of new features, products, or services. Coordinate with other groups in Anomali to develop…"
Applied Research Scientist,"San Francisco, CA 94104 (Financial District area)",Grammarly,,4.8,"Has worked with text data in a research context or in industry-building intelligence systems. Ruthlessly follows the data, looking for evidence to disconfirm…"
"Senior Business Analyst - Analytics & Insights - Opportunity for Working Remotely San Francisco, CA","San Francisco, CA",VMware,,4.0,Maintain a strong external focus within the data sciences and business intelligence/analytics space to keep current of industry leading practices and advances…
Security Analyst,"San Francisco, CA",Culture Amp,,,"A good understanding of security and data privacy frameworks, and the security controls and compliance requirements for various frameworks and regulations such…"
Employee Experience Manager,"San Francisco, CA",Discord,,4.3,"You are intuitive, empathetic, and lead with compassion and courage Benefits and Perks Medical insurance including Health, Dental, Vision  18 paid holidays…"
Product Data Analyst,"San Francisco, CA",Academia.edu,,,"Suggest new business and product opportunities based on data insights. Expertise in data wrangling, ETL and data mining techniques a plus."
Business Analyst,"San Mateo, CA",Sony Interactive Entertainment PlayStation,,3.7,"5 years or more commercial business analysis experience: Requirements elicitation and business needs workshops. Patient, persistent, pragmatic and respectful."
Environmental Data Analyst - 1 to 5 Years Experience,"San Francisco, CA","Langan Engineering and Environmental Services, Inc...",,3.6,Experience using MS Excel to manipulate and organize data sets for import into a database and for final reporting;
Buy-Side Equity Research Analyst,"San Francisco, CA 94104 (Financial District area)",Cutler Group,,,"Use statistical data to identify alpha strategies. Identifying and analyzing catalyst events such as earnings, M&A, or other special situations."
"Associate, Capital Markets","San Francisco, CA",Upgrade,,3.5,Work with product managers and engineers to ensure integrity of investor data reports. 5+ years of capital markets experience at a financial technology firm or…
"Senior Business Intelligence Analyst, IDEO U","San Francisco, CA 94105 (South Beach area)",IDEO,,4.3,"4+ years in analytics, business intelligence, data engineering, data analysis, or related field. Proficiency in designing & building data pipelines or using ETL…"
SQL Server Database Administrator,"Oakland, CA 94612 (Downtown area)",Brown & Toland Physicians,,3.2,Work closely with developers and business users to design and architect database solutions. Required Education: Bachelor’s degree in computer science or…
Senior Business Intelligence Analyst-Remote OK,"San Francisco, CA 94107 (South Of Market area)",Splunk,,4.1,12+ years of Business Intelligence Architecture experience and data warehouse database technology expertise. Perform detailed data analysis (i.e. determine the…
Data Analyst,"San Francisco, CA 94102 (Downtown area)","Ballast Investments, LLC",,,"Hand’s on experience utilizing Tableau, Power BI, Looker or equivalent business intelligence software to generate reports from multiple data sets, preferably in…"
Data Analyst,"Oakland, CA 94612 (Lakewide area)",Mason Tillman Associates,,,
Business Analyst,"Fremont, CA 94555 (Ardenwood area)",eSellerHub,,,Consultative role in understanding business / defining frameworks for projects. Or an Engineering degree will also be acceptable– Requirement Analysis–…
Clinical Data Programmer/Analyst,,Quantum Leap Healthcare,,,"Support data migration activities including data cleaning and adjudication processes. Implement data standards within a function, or therapeutic area in…"
NGS Scientist,,MedGenome,$37 - $69 an hour,,"PhD degree in molecular biology or equivalent in, cancer genetics, Immunology or a related field. The ideal candidate will have a PhD or equivalent depth of…"
Imaging Software Engineer/Scientist,,Gamma Reality Inc.,,,Join our growing team of experienced engineers and scientists to create novel solutions for 3D radiation detection and mapping.
Sr. Mechanical Engineer for Test and Evaluation,,Abundant Robotics,,,Bachelor’s degree or higher in engineering or technically relevant field. Personal protective equipment provided or required. Only full-time employees eligible.
Consultant (SF),,Adivo Associates,,2.7,Conduct secondary research of large data sets from various data sources. Solve complex business problems and falsify clients’ business hypothesis.
Chief Engineer,,the Nines Hotel,$20 - $48 an hour,3.7,Requires analyzing activities and/or information involving some original data manipulation or interpretation to arrive at logical conclusions.
Protective Intelligence Analyst - San Francisco or D.C.,,Sibylline Americas Inc.,,,Or relevant work experience of 2+ years in a intelligence or security related analytical position. Demonstrable proficiency in working with data and data…
Fleet Maintenance Coordinator,,Aclima,,3.0,"A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or more. Manage inventory of fleet supplies."
Scientist/Research Associate - Lipid Nanoparticles,,DNAlite Therapeutics,"From $70,000 a year",,"Sanitizing, disinfecting, or cleaning procedures in place. Design and formulate lipid nanoparticles. Work with management and team on coordinating materials and…"
Microsoft Power Business Intelligence Developer,"San Francisco, CA (South of Market area)",City & County of San Francisco,$46.80 - $58.91 an hour,4.0,"Experience in business intelligence, data integration and reports/analytics. The developer will work alongside business analysts to capture requirements of our…"
"IT Business Analyst, Legal Business Conduct and Alliance Management","Foster City, CA",Gilead Sciences,,3.6,"Prior experience with business intelligence tools, business process mapping and orchestration, quality data management , master data, cloud based systems and…"
Data Scientist – Intern (Summer 2021),"Redwood City, CA",C3 AI,,,"Pursuing a MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Collaborating with data and subject matter experts from C3…"
"Research Engineer or Software Engineer I, II or III","San Francisco, CA (Mission Bay area)",Gladstone Institutes,,3.7,Statistical skills: exploratory data analysis. This person may also help use ML techniques to analyze genomic data to help understand the disease- causing…
Research Analyst,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Graduate degree in Anthropology, Sociology, Public Health or Policy or related field and/or equivalent experience/training. Job Code and Payroll Title."
Data Engineer - Healthcare,"San Francisco, CA",Nuna,,,"Collaborate with product managers, data scientists, data analysts and engineers to define user requirements and database design specifications for our clients'…"
Business Analyst,"San Francisco, CA 94108 (Financial District area)",Lumetra Healthcare Solutions,,4.0,"Tools such as MS-SQL, Crystal Reports, Tableau among other business intelligence tools. You will also be involved in facilitating business process improvement,."
IS Business Analyst-Senior,"San Francisco, CA (South of Market area)",City & County of San Francisco,$51.64 - $64.96 an hour,4.0,"Three (3) years of experience in the information systems field, including system analysis, business process design, development and implementation of business…"
"Data Scientist, Knowledge Representation and Data Curation","San Francisco, CA",Valo Health,,,"Collaborate with all stakeholders of the data, from the producers/submitters to the consumers by communicating and influencing integration among software…"
Oracle Database Administrator,"Redwood City, CA",Stanford University,,4.2,"Create data flow and data lifecycle documentation. Knowledge of data marts and data warehousing functionality desired. Desired Knowledge, Skills, and Abilities."
Business Intelligence Engineer,"San Mateo, CA",OneSignal,,,Assist in architecting and designing a scalable data warehouse that can be connected to a business intelligence tool. Minimum of 2+ years of experience.
Machine Learning Research Engineer,"San Francisco, CA",Embark Trucks,,,3+ years of research or practical experience applying deep learning on large scale and real world data. Strong coding skills in Python or C++.
Software Engineer - Applied ML and Data Science,"San Francisco, CA 94105 (South Beach area)",Databricks,,,Build self-serving internal data products to make data simple within the company. Experience in applying Data Science / ML in production to build data-driven…
Supply Chain Data Analyst,"South San Francisco, CA 94080",Freenome Holdings,,,Bachelor's degree in business or related discipline with 5 years of data analysis work experience in manufacturing operations and/or supply chain.
"Director, Analytics & Business Intelligence","San Francisco, CA",Eave Inc,,,"Support ad hoc data requests through either SQL query or quick report or dashboard and analyze large quantities of data using Python, VBA or R to drive growth…"
Database Engineer,"San Francisco, CA 94105 (South Beach area)",Total Entertainment Network (TEN),,,"Proven experience with Sybase CT-LIB or other RDBMS client libraries, working knowledge of Win95 and/or Windows NT, knowledge of UNIX concepts."
Entry-level Mechanical Engineer ( Data Center ),"Oakland, CA 94621 (Arrowhead Marsh area)","Enercon Services, Inc.",,2.9,"Interfacing with other staff engineers as well as engineers working for our clients. Previous internship, job, or shadowing experience in design engineering in…"
Business Analyst Intern - MBA or MS (Summer 2021),"Redwood City, CA 94065 (Dolphin area)",Electronic Arts,,3.8,"Masters of Business Administration or M.S. in Math, Economics or Computer Science. As a Business Analyst intern, you will work with in-depth subscription data…"
Trust & Safety Analyst,"San Francisco, CA",Discord,,4.3,Analyze new and potential features and propose plans to help reduce or remove abuse before it happens. What you'll be doing Review and evaluate content for…
Microsoft Power Business Intelligence Developer,"San Francisco, CA (South of Market area)",City & County of San Francisco,$46.80 - $58.91 an hour,4.0,"Experience in business intelligence, data integration and reports/analytics. The developer will work alongside business analysts to capture requirements of our…"
"IT Business Analyst, Legal Business Conduct and Alliance Management","Foster City, CA",Gilead Sciences,,3.6,"Prior experience with business intelligence tools, business process mapping and orchestration, quality data management , master data, cloud based systems and…"
Data Scientist – Intern (Summer 2021),"Redwood City, CA",C3 AI,,,"Pursuing a MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Collaborating with data and subject matter experts from C3…"
"Research Engineer or Software Engineer I, II or III","San Francisco, CA (Mission Bay area)",Gladstone Institutes,,3.7,Statistical skills: exploratory data analysis. This person may also help use ML techniques to analyze genomic data to help understand the disease- causing…
Research Analyst,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,,4.2,"Graduate degree in Anthropology, Sociology, Public Health or Policy or related field and/or equivalent experience/training. Job Code and Payroll Title."
"Data Scientist, LiveRamp Safe Haven",,LiveRamp,,,Provide mentorship and guidance to other data analysts/scientists where necessary. LiveRamp is currently ramping up its Safe Haven business in the U.S. and is…
Data Engineer - Healthcare,"San Francisco, CA",Nuna,,,"Collaborate with product managers, data scientists, data analysts and engineers to define user requirements and database design specifications for our clients'…"
Research Analyst and/or Leadership Rotation Program,"Redwood City, CA 94063 (Downtown area)",Equilar Inc,,2.9,"This is done by reading through, interpreting, and breaking down data found in SEC filings. No matter what track you're on or where you end up, all employees at…"
Business Analyst,"San Francisco, CA 94108 (Financial District area)",Lumetra Healthcare Solutions,,4.0,"Tools such as MS-SQL, Crystal Reports, Tableau among other business intelligence tools. You will also be involved in facilitating business process improvement,."
IS Business Analyst-Senior,"San Francisco, CA (South of Market area)",City & County of San Francisco,$51.64 - $64.96 an hour,4.0,"Three (3) years of experience in the information systems field, including system analysis, business process design, development and implementation of business…"
"Data Scientist, Knowledge Representation and Data Curation","San Francisco, CA",Valo Health,,,"Collaborate with all stakeholders of the data, from the producers/submitters to the consumers by communicating and influencing integration among software…"
Oracle Database Administrator,"Redwood City, CA",Stanford University,,4.2,"Create data flow and data lifecycle documentation. Knowledge of data marts and data warehousing functionality desired. Desired Knowledge, Skills, and Abilities."
Business Intelligence Engineer,"San Mateo, CA",OneSignal,,,Assist in architecting and designing a scalable data warehouse that can be connected to a business intelligence tool. Minimum of 2+ years of experience.
Machine Learning Research Engineer,"San Francisco, CA",Embark Trucks,,,3+ years of research or practical experience applying deep learning on large scale and real world data. Strong coding skills in Python or C++.
Software Engineer - Applied ML and Data Science,"San Francisco, CA 94105 (South Beach area)",Databricks,,,Build self-serving internal data products to make data simple within the company. Experience in applying Data Science / ML in production to build data-driven…
Supply Chain Data Analyst,"South San Francisco, CA 94080",Freenome Holdings,,,Bachelor's degree in business or related discipline with 5 years of data analysis work experience in manufacturing operations and/or supply chain.
"Director, Analytics & Business Intelligence","San Francisco, CA",Eave Inc,,,"Support ad hoc data requests through either SQL query or quick report or dashboard and analyze large quantities of data using Python, VBA or R to drive growth…"
"Data Scientist, Operations","San Francisco, CA",PicnicHealth,,,You have a strong desire to lead a growing team of data scientists as PicnicHealth scales to meet customer demand.
Applications Analyst I,"San Francisco, CA 94111 (North Waterfront area)",Public Library of Science,,3.4,"Basic knowledge of or interest in relational databases and data analysis. Rare, but occasional after-hours (evening or weekend) work."
gRED IT LEAP Research Operations Business Systems Analyst,"South San Francisco, CA 94080",Genentech,,4.1,4+ years of business systems analyst experience. LEAP seeks an inspirational and talented business systems analyst to translate business strategy into…
Data Analyst - Product,"San Francisco, CA",Veem,,3.3,"Drive the collection of new data and the refinement of existing data sources. +5 years of relevant analytical work experience in analyzing large, multi…"
Intern - Business Development Analyst (Summer 2021),"San Francisco, CA 94103 (South of Market area)",Wish,,4.0,Analyze and leverage external and internal data to identify potential business improvements and propose business expansion areas. Experience in SQL is a plus.
"Software Engineer, Data Team (International)","San Carlos, CA",Yummly,,,"Experience with AWS or GCP. Experience with ETL jobs & data pipelines. Interest in food and/or cooking. Interest in or experience with ML, deep learning, NLP,…"
"SAP Data Intelligence in Fort Mill, SC","San Rafael, CA",TIME2FIND,,,"Learn how to deliver data-driven innovation and intelligence across your enterprise with SAP Data Intelligence, a comprehensive data management solution that…"
Environmental Scientist/Engineer – Data Analytics,,Integral Consulting Inc.,,,"Train and mentor other data analysts. Collaborate with multidisciplinary teams (data managers, engineers, environmental scientists, toxicologists) to develop…"
GTM Data Scientist,"San Francisco, CA 94105 (South Beach area)",Intercom,,3.7,Monitoring the state of the business on a regular basis and generating data-driven hypotheses and action items in order drive business impact.
Staff Data Scientist - Interests,"San Francisco, CA 94103 (South of Market area)",Twitter,,4.1,Experience mentoring junior data scientists and enthusiasm for building out a new data science team. You will be a key member of the Interests Data Science team…
PDM Change Analyst,"San Francisco, CA 94105 (South Beach area)",Accenture,,4.0,Bachelor’s degree in engineering or supply chain. Bachelor’s degree or Minimum 2 years PLM engineering experience. Create bill of materials (BOMs).
